Date,Asian Open,Asian High,Asian Low,Asian Close,Asian Adj Close,Asian Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,,,,,,,,,Dropdown,,,Date,Dmart Volume,Asian Volume
08-10-2021,3307,3329,3264.100098,3306.899902,3284.074219,882436,4326.399902,4421.950195,4299.049805,4407.950195,4407.950195,314758,,,,,,,,,,,,,,08-10-2021,314758,882436
11-10-2021,3326.399902,3344.350098,3297.75,3306.050049,3283.230225,460197,4438,4840,4407,4719.450195,4719.450195,1017160,,,,,,,,,,,,,,11-10-2021,1017160,460197
12-10-2021,3280,3335,3280,3323.25,3300.311523,564524,4780,4895,4718.850098,4739,4739,817027,,,,,,,,,,,,,,12-10-2021,817027,564524
13-10-2021,3343,3358.899902,3291.399902,3323.5,3300.559814,770144,4777,5595,4760.25,5117.149902,5117.149902,2593684,,,,,,,,,,,,,,13-10-2021,2593684,770144
14-10-2021,3342,3352.949951,3290,3297.800049,3275.037109,648597,5194,5420,5180.049805,5323.75,5323.75,1187904,,,,,,,,,,,,,,14-10-2021,1187904,648597
18-10-2021,3252.5,3283.949951,3232,3241.5,3219.125732,1576121,5599,5900,4851.100098,4897.799805,4897.799805,4748382,,,,,,,,,,,,,,18-10-2021,4748382,1576121
19-10-2021,3260.899902,3269.100098,3176.100098,3183.75,3161.774414,1042069,5000,5100,4725,4754.549805,4754.549805,1804742,,,,,,,,,,,,,,19-10-2021,1804742,1042069
20-10-2021,3190,3219.949951,3136.649902,3169.600098,3147.722168,1205540,4789,4860,4470.25,4596.399902,4596.399902,1677557,,,,,,,,,,,,,,20-10-2021,1677557,1205540
21-10-2021,3194,3195.449951,2920.449951,3002,2981.278809,5103543,4650,4699.5,4500,4521.25,4521.25,1028678,,,,,,,,,,,,,,21-10-2021,1028678,5103543
22-10-2021,2975,3002.949951,2912.149902,2982.399902,2961.813965,2855592,4559,4560,4482,4521.450195,4521.450195,739603,,,,,,,,,,,,,,22-10-2021,739603,2855592
25-10-2021,2950,2950,2857.25,2918.050049,2897.908447,2161537,4534.299805,4550,4351,4400.600098,4400.600098,591416,,,,,,,,,,,,,,25-10-2021,591416,2161537
26-10-2021,2918.050049,3024,2898,2969.800049,2949.30127,1988263,4419,4599,4365,4568.5,4568.5,637834,,,,,,,,,,,,,,26-10-2021,637834,1988263
27-10-2021,3029.199951,3145,3029.199951,3094.649902,3073.289307,4609951,4600,4770,4591.549805,4733,4733,762605,,,,,,,,,,,,,,27-10-2021,762605,4609951
