Date,Open,High,Low,Close,Adj Close,Volume,,,,,
04-07-2022,3530,3555,3460,3495.5,3495.5,766616,,,,,
05-07-2022,3506,3657.649902,3506,3639.050049,3639.050049,859254,,,,,
06-07-2022,3650,3830,3650,3792,3792,751853,,,,,
07-07-2022,3870,3935.600098,3830,3850.949951,3850.949951,463192,,,,,
08-07-2022,3868.399902,3974,3851.100098,3941.699951,3941.699951,568785,,,,,
11-07-2022,4000,4087.850098,3892,3986.850098,3986.850098,2331905,,,,,
12-07-2022,3986.5,3986.850098,3855,3878.399902,3878.399902,569128,,,,,
13-07-2022,3900,3944,3870,3883.350098,3883.350098,423704,,,,,
14-07-2022,3913.899902,3944,3884,3924.850098,3924.850098,372526,,,,,
15-07-2022,3925,3939.899902,3888,3926.800049,3926.800049,194371,,,,,
18-07-2022,3951,3968,3920,3945.75,3945.75,287481,,,,,
19-07-2022,3911,3942,3911,3931.300049,3931.300049,169004,,,,,
20-07-2022,3960,3965,3902,3915.449951,3915.449951,251615,,,,,
21-07-2022,3930,4059,3920.050049,4035.350098,4035.350098,587934,,,,,
22-07-2022,4070,4077.899902,3950,3963.399902,3963.399902,457904,,,,,
25-07-2022,3973,4050,3935,4040.050049,4040.050049,444451,,,,,
26-07-2022,4038,4038,3909,3932.399902,3932.399902,430993,,,,,
27-07-2022,3940,4010,3920,4000.949951,4000.949951,245970,,,,,
28-07-2022,4020,4164,4001,4147.799805,4147.799805,725281,,,,,
29-07-2022,4215,4250,4183.450195,4243.850098,4243.850098,514745,,,,,
01-08-2022,4251.950195,4317,4246.5,4307.649902,4307.649902,399725,,,,,
02-08-2022,4306,4306,4235.049805,4259.100098,4259.100098,311279,,,,,
03-08-2022,4251,4298,4180.100098,4253.149902,4253.149902,289000,,,,,
04-08-2022,4268,4314.899902,4175,4239.100098,4239.100098,593274,,,,,
05-08-2022,4238,4295,4187.149902,4232.25,4232.25,528876,,,,,
08-08-2022,4237.399902,4267.399902,4233,4250.049805,4250.049805,200014,,,,,
10-08-2022,4250.049805,4278.950195,4219.850098,4250.700195,4250.700195,238239,,,,,
11-08-2022,4280,4295,4260,4274.850098,4274.850098,246094,,,,,
12-08-2022,4274.850098,4387,4255,4336.700195,4336.700195,448303,,,,,
16-08-2022,4355,4412,4350.549805,4402.100098,4402.100098,290414,,,,,
17-08-2022,4422,4438,4370,4398.649902,4398.649902,316826,,,,,
18-08-2022,4425,4493.100098,4401.049805,4460.950195,4460.950195,468551,,,,,
19-08-2022,4487,4523.5,4352.75,4382,4382,437762,,,,,
22-08-2022,4371,4371,4231,4250.75,4250.75,330916,,,,,
23-08-2022,4195,4301,4170.549805,4256.950195,4256.950195,285843,,,,,
24-08-2022,4269,4356,4266,4304.25,4304.25,270843,,,,,
25-08-2022,4339.899902,4394,4312.049805,4341.25,4341.25,246543,,,,,
26-08-2022,4384,4414.5,4370.049805,4409.649902,4409.649902,202948,,,,,
29-08-2022,4270,4450,4270,4431.549805,4431.549805,352554,,,,,
30-08-2022,4475,4550,4460.299805,4531.350098,4531.350098,426171,,,,,
01-09-2022,4494,4599.399902,4462,4565.850098,4565.850098,431835,,,,,
02-09-2022,4572.899902,4609,4511,4576.799805,4576.799805,268702,,,,,
05-09-2022,4584.799805,4606.149902,4550,4577.450195,4577.450195,216543,,,,,
06-09-2022,4599,4603.950195,4531,4575,4575,97831,,,,,
